1&1DE;DRI.DE
VONOVIA SE NA O.N.;VNA.DE
VONOVIA SE NA;VNA.DE
PROSIEBENSAT.1 O.N.VZO;PSM.DE
PROSIEBENSAT1;PSM.DE
COMMERZBANK;CBK.DE
MTU AERO ENGINES;MTX.DE
MTU AERO ENGINES NA O.N.;MTX.DE
MTU AERO ENGI;MTX.DE
morphosys ag o.n.;mor.de
morphosys;mor.de
aareal bank;arl.de
rtl group;rtl.de
rtl group;rrtl.de
siltronic ag na o.n.;waf.de
siltronic ag;waf.de
hellofresh se inh o.n.;hfg.de
hellofresh se inh;hfg.de
hellofresh se;hfg.de
delivery hero se na o.n.;dher.de
delivery hero se n;dher.de
delivery hero s;dher.de
delivery hero;dher.de
software ag na o.n.;sow.de
software ag;sow.de
freenet ag na o.n.;fntn.de
freenet ag;fntn.de
rational ag;raa.de
brenntag ag;bnr.de
brenntag se NA o.n.;bnr.de
brenntag se NA;bnr.de
scout24 ag na o.n.;g24.de
scout24;g24.de
cancom se;cok.de
cancom se o.n.;cok.de
hella;hle.de
hella gmbh;hle.de
teamviewer;tmv.de
teamviewer ag inh o.n.;tmv.de
durr ag;due.de
duerr ag;due.de
SIEMENS HEALTHLINEERS;shl.de
SIEMENS HEALTH;shl.de
SIEMENS HEALTHLINE;shl.de
siemens healthineers;shl.de
siemens health.ag na o.n.;shl.de
carl zeiss meditec;afx.de
carl zeiss meditec ag;afx.de
airbus group;eadsf.de
united internet;utdi.de
utd.internet ag na;utdi.de
sartorius ag o.n.;srt3.de
sartorius ag o;srt3.de
sartorius ag vzo o.n.;srt3.de
sartorius;srt3.de
VARTA AG O.N.;var1.de
varta;var1.de
bechtle ag o.n.;bc8.de
bechtle ag;bc8.de
qiagen;qgen.de
evonik;evk.de
lanxess ag;lxs.de
lankess ag;lxs.de
puma se;pum.de
puma;pum.de
uniper se;un01.de
zalando se;zal.de
zalando;zal.de
evotec ag o.n.;evt.de
evotec se inh o.n.;evt.de
evotec se;evt.de
compugroup med.;cop.de
compugroup med. na o.n.;cop.de
hannover rueck se na.o.n.;hnr1.de
hann.rueck;hnr1.de
hann. rueck;hnr1.de
ALSTRIA OFFICE REIT-AG;aox.de
alstria office;aox.de
aurubis;nda.de
aurubis ag;nda.de
FUCHS PETROL AG;fpe3.de
fuchs petrolub ag;fpe3.de
knorr-bremse;kbx.de
knorr-bremse ag inh o.n.;kbx.de
gea group ag;g1a.de
gea group;g1a.de
deutsche pfand briefbank;pbb.de
deutsche pfandbriefbank;pbb.de
symrise ag;sy1.de
symrise ag INH. O.N.;sy1.de
symrise ag INH.;sy1.de
hochtief ag;hot.de
gerresheimer;gxi.de
rheinmetall ag;rhm.de
kes;sdf.de
kbs;sdf.de
k&s;sdf.de
k-s-6;sdf.de
kion group;kgx.de
nemetschek se o.n.;nem.de
nemetschek;nem.de
fraport ag;fra.de
deutsche wohnen;dwni.de
deutsche wohnen se inh;dwni.de
deutsche wohn;dwni.de
cts eventim;evd.de
grenke ag;glj.de
grenke ag na o.n.;glj.de
METRO AG ST O.N.;b4b.de
metro ag;b4b.de
metro;b4b.de
tag immobilien;teg.de
leg immobilien;leg.de
telefonica deutschland;o2d.de
telefonica;o2d.de
bo55;boss.de
boss;boss.de
hugo bo55;boss.de
hugo boss;boss.de
GRAND CITY PROBERTIES;gyc.de
grand city properties;gyc.de
Aroundturn 5A;at1.de
aroundtown ag;at1.de
aroundtown eo-,01;at1.de
smdax index;mdax.de
$mdax index;mdax.de
mdax index;mdax.de
fielmann ag;fie.de
stada arzneimittel;saz.de
stada arzneimitt.vna o.n.;saz.de
wacker chemie;wch.de
Ceconomy ag;cec1.de
Ceconomy;cec1.de
salzgitter ag;szg.de
schaeffler ag;sha.de
norma group;noej.de
leonie ag;leo.de
krones ag;krn.de 
jungheinrich;jun3.de
deutsche euroshop;deq.de
talanx ag;tlx.de
SUEDZUCKER ag;szu.de
STROEER;sax.de
Stroer se;sax.de
Ströer se;sax.de
Bilfinger Berger;gbf.de
sgl carbon;sgl.de
jenoptik ag na o.n.;jen.de
lpkf laser+electron.;lpk.de
new work se na o.n.;nwo.de
nordex se o.n.;ndx1.de
pfeiffer vaccum tech.o.n.;pfv.de
s+t ag (z.reg.mk.z.)o.n.;sant.de
siemens energy ag;enr.de
siemens energy;enr.de
siemens energy ag o.n.;enr.de
siemens energy ag na o.n.;enr.de
encavis ag inh. o.n.;ecv.de
sma solar technol.ag;s92.de
porsche autom.hldg vzo;PAH3.de
porsche autom.hld;PAH3.de
porsche autom;PAH3.de
block inc;sq.us
illumina inc;ilmn.us
plug power inc;plug.us
Pacific Biosciences of Californ;pacb.us
FuelCell Energy inc;fcel.us
Aurora Cannabis inc;acb.us
Canopy Growth Corporatio;A140QA.us
Tilray inc;tlry.us
fastly inc;fsly.us
seagate technology holdin;stx.us
snap inc;snap.us
3 D Systems inc;ddd.us
Biontech se spon ads each r;bntx.us
Biontech se spon each r;bntx.us
amazon;amzn.us
facebook inc;fb.us
alphabet inc;goog.us
comcast corp new;cmcsa.us
comcast;cmcsa.us
pepsico;pep.us
adobe systems;ADBE.us
adobe inc;ADBE.us
nvidoa corp;nvda.us
netflix inc;nflx
amgen inc;amgn.us
amgen;amgn.us
salesforce.com inc;crm.us
honeywell international inc;hon.us
honeywell international in;hon.us
honeywell internation;hon.us
honeywell;hon.us
paypal hldgs inc;pypl.us
costco wholesale;cost.us
asml holding n v;asml.us
texas instr inc;txn.us
broadcom inc;avgo.us
qualcom inc;qcom.us
charter communications inc;chtr.us
starbucks corp;sbux.us
booking holdgs inc;bkng.us
tesla inc;tsla.us
mondelez intl inc;mdlz.us
automatic data processing;adp.us
intuit;intu.us
micron technology inc;mu.us
vertex pharmaceuticals inc;vrtx.us
applied matls inc;amat.us
appkied mat. ;amat.us
csx corp;csx.us
jd com inc;jd.us
biogen;biib.us
walgreens boots alliance;wba.us
walgreens boots alliance in;wba.us
walgreens boots alliance inc;wba.us
marriott intl inc new;mar.us
advanced mirco devices inc;amd.us
baidu inc;bidu.us
illumina inc;ilmn.us
fiserv inc;fisv.us
activision blizzard inc;atvi.us
excelon;exc.us
nxp semiconductors n v;nxpi.us
netease inc;ntes.us
lam research corp;lrcx.us
analog devides inc;adi.us
ross stores inc;rost.us
autodesk inc;adsk.us
regeneron pharmaceuticals;regn.us
kaft heinz co;khc.us
monster beverage corp new;mnst.us
cognizant technology solu;ctsh.us
o reilly automotive inc new;orly.us
electronic arts inc;ea.us
xcel enegy inc;xel.us
sirius xm hldgs inc;siri.us
ebay inc;ebay.us
ebay;ebay.us
paychex inc;payx.us
cintas corb;ctas.us
lulelemon athetica inc;lulu.us
mercadolibre inc;meli.us
kla-tencor;klac.us
willis towers watson pub;wltw.us
paccar inc;pcar.us
workday inc;wday.us
verisk analytics inc;vrsk.us
verisign inc;vrsn.us
idexx labs inc;IDXX.us
united contl hldgs inc;ual.us
splunk inc;splk.us
costco wholesale;cost.us
ansys inc;anss.us
synopsys inc;snps.us
copart inc;cprt.us
align technology inc;algn.us
western digital corp;wdc.us
check point software;chkp.us
seattle genetics inc;sgen.us
incyte corp;incy.us
ulta beauty inc;ulta.us
netapp inc;ntap.us
biomarin pharmaceuticals inc;bmrn.us
expedia group inc;expe.us
american airls group plc;aal.us
liberty global plc;lbtya.us
cdw corp;cdw.us
fox corp;fox.us
trip com group ltd;tcom.us
dollar tree inc;dltr.us
cadence design system inc;cdns.us
skyworks solutions inc;swks.us
fastenal co;fast.us
take-two interactive soft;ttwo.us
DOW Jones Kassa Index;dowjones.us
DOW Jones Index;dowjones.us
DJI Mini Future;dowjones-future.us
DJI Mini Future - eCBT - $5/pt;dowjones-future.us
DJI Mini Futures - eCBT - $5/pt;dowjones-future.us
DJI Mini Futures - e CBT - 5-pt;dowjones-future.us
DJI Mini Futures eCBT 5-pt;dowjones-future.us
Apple;aapl.us
Amerian Express;axp.us
Boeing Co;ba.us
Boeing;ba.us
Caterpillar inc del;cat.us
Caterpillar;cat.us
cisco;csco.us
Chevron Corp new;cvx.us
Chevron;cvx.us
Disney Walt Co;dis.us
Disney Walt;dis.us
Walt Disney;dis.us
dow inc;dow.us
Goldman Sachs Group Inc;gs.us
Goldman Sachs;gs.us
Home Depot Inc;hd.us
Home Depot;hd.us
International Business Mac;ibm.us
International Business Machs;ibm.us
International Business;ibm.us
IBM;ibm.us
Intel Corp;intc.us
Intel;intc.us
Johnson & Johnson;jnj.us
JPMorgan Chase & Co;jpm.us
JPMorgan;jpm.us
Coca Cola Co;KO.us
Coca Cola;KO.us
McDonalds Corp;mcd.us
McDonalds;mcd.us
3M Co;mmm.us
3M Company;mmm.us
Merck & Co Inc NEw;mrk.us
Merck;mrk.us
microsoft Corp;msft.us
microsoft;msft.us
nike inc;nke.us
PFizer inc;pfe.us
PFizer;pfe.us
Procter & Gamble Co;pg.us
Procter & Gamble;pg.us
AT&T Inc;t.us
AT&T;t.us
Travelers Companies inc;trv.us
The Travelers;trv.us
Unitedhealth Group inc;unh.us
Unitedhealth;unh.us
Visa Inc;v.us
Visa Inc.;v.us
Verizon Communications Inc;vz.us
Verizon Communications;vz.us
Verizon;vz.us
Walgreens Boot Alliance;wba.us
Walgreens Boots;wba.us
Wal-Mart Stores Inc;wmt.us
Wal Mart;wmt.us
Exxon Mobil Corp;xom.us
Exxon Mobil;xom.us
Exxon Mobil Corp;xom.us
Nasdaq 100;nasdaq.us
Nasdaq 100 Index;nasdaq.us
E-Mini Nasdaq 100;nasdaq-future.us
Nasdaq 100 E-Mini;nasdaq-future.us
Nasdaq 100 E-Mini Futures-Globe;nasdaq-future.us
Nasdaq 100 E-Mini Futures-Globex;nasdaq-future.us
Nasdaq 100 E-Mini Futures-Glo;nasdaq-future.us
Nasdaq 100 E-Mini Futures;nasdaq-future.us
S&P 500 Index;sp500.us
S&P 500 E-mini;sp500-future.us
S&P 500 E-mini Futures - Globex;sp500-future.us
S&P 500 E-mini Futures - Glo;sp500-future.us
S&P 500 E-mini Futures Glo;sp500-future.us
MDAX Performanceindex;mdax.us
SDAX Performanceindex;sdax.us
FDAX 101C0 HMUZJ DAX Future;fdax.de
FDAX_101C0^HMUZ] DAX Futu;fdax.de
[!FDAX_101C0^HMUZ] DAX Future;fdax.de
[!FDAX_101C0^HMUZ] DAX Futur;fdax.de
[!FDAX_101C0^HMUZ] DAX Futu;fdax.de
LFDAX 101C0 HMUZ] DAX Futu;fdax.de
Dow Jones EURO STOXX 50;stoxx50.de
General Electric co;ge.us
Twitter inc;twtr.us
curevac nv;cvac.us
Du Pont D i de nemours & co;dd.us
Du Pont E i de nemours & co;dd.us
Dowdupont inc;dd.us
Shopify Inc;shop.us
MONGODB INC;mdb.us
Raytheon Technologies;rtx.us
Zoom Video Communications;zm.us
Palantir Tech Inc;pltr.us
